Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Standing Calf Raise (Machine)";1;40;kg;15;;;;0;"";;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Standing Calf Raise (Machine)";2;65;kg;15;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Standing Calf Raise (Machine)";3;65;kg;15;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Standing Calf Raise (Machine)";4;65;kg;14;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Lying Leg Curl (Machine)";1;25;kg;20;;;;0;"";;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Lying Leg Curl (Machine)";2;40;kg;12;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Lying Leg Curl (Machine)";3;40;kg;12;9,5;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Lying Leg Curl (Machine)";4;40;kg;10;10;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Hip Thrust (Barbell)";1;45;kg;8;;;;0;"";;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Hip Thrust (Barbell)";2;45;kg;8;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Hip Thrust (Barbell)";3;45;kg;8;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Hip Thrust (Barbell)";4;45;kg;8;;;;0;;;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Seated Overhead Press (Dumbbell)";1;12;kg;20;;;;0;"";;1h 27m
2022-03-19 15:42:10;"Gambe Glutei e Deltoidi";"Seated Overhead Press (Dumbbell)";2;16;kg;12;;;;0;;;1h 27m
